Date,Time,Count,Avg Speed [km/h],PH,PH Bool
08/07/2023,13:00 - 14:00,672,61,#N/A,0
08/07/2023,14:00 - 15:00,589,60,#N/A,0
08/07/2023,15:00 - 16:00,580,60,#N/A,0
08/07/2023,16:00 - 17:00,464,61,#N/A,0
08/07/2023,17:00 - 18:00,529,58,#N/A,0
08/07/2023,18:00 - 19:00,479,57,#N/A,0
08/07/2023,19:00 - 20:00,443,61,#N/A,0
08/07/2023,20:00 - 21:00,385,59,#N/A,0
08/07/2023,21:00 - 22:00,267,59,#N/A,0
08/07/2023,22:00 - 23:00,247,60,#N/A,0
08/07/2023,23:00 - 24:00,220,62,#N/A,0
09/07/2023,00:00 - 01:00,148,64,#N/A,0
09/07/2023,01:00 - 02:00,101,64,#N/A,0
09/07/2023,02:00 - 03:00,41,66,#N/A,0
09/07/2023,03:00 - 04:00,50,65,#N/A,0
09/07/2023,04:00 - 05:00,44,64,#N/A,0
09/07/2023,05:00 - 06:00,97,65,#N/A,0
09/07/2023,06:00 - 07:00,210,66,#N/A,0
09/07/2023,07:00 - 08:00,451,65,#N/A,0
09/07/2023,08:00 - 09:00,714,58,#N/A,0
09/07/2023,09:00 - 10:00,801,57,#N/A,0
09/07/2023,10:00 - 11:00,784,55,#N/A,0
09/07/2023,11:00 - 12:00,666,57,#N/A,0
09/07/2023,12:00 - 13:00,605,56,#N/A,0
09/07/2023,13:00 - 14:00,452,59,#N/A,0
09/07/2023,14:00 - 15:00,471,40,#N/A,0
09/07/2023,15:00 - 16:00,452,40,#N/A,0
09/07/2023,16:00 - 17:00,437,41,#N/A,0
09/07/2023,17:00 - 18:00,409,40,#N/A,0
09/07/2023,18:00 - 19:00,392,43,#N/A,0
09/07/2023,19:00 - 20:00,297,49,#N/A,0
09/07/2023,20:00 - 21:00,194,62,#N/A,0
09/07/2023,21:00 - 22:00,162,56,#N/A,0
09/07/2023,22:00 - 23:00,130,59,#N/A,0
09/07/2023,23:00 - 24:00,81,62,#N/A,0
10/07/2023,00:00 - 01:00,65,66,#N/A,0
10/07/2023,01:00 - 02:00,35,65,#N/A,0
10/07/2023,02:00 - 03:00,27,69,#N/A,0
10/07/2023,03:00 - 04:00,33,59,#N/A,0
10/07/2023,04:00 - 05:00,43,63,#N/A,0
10/07/2023,05:00 - 06:00,122,66,#N/A,0
10/07/2023,06:00 - 07:00,212,69,#N/A,0
10/07/2023,07:00 - 08:00,287,65,#N/A,0
10/07/2023,08:00 - 09:00,347,62,#N/A,0
10/07/2023,09:00 - 10:00,409,60,#N/A,0
10/07/2023,10:00 - 11:00,395,59,#N/A,0
10/07/2023,11:00 - 12:00,347,61,#N/A,0
10/07/2023,12:00 - 13:00,313,60,#N/A,0
10/07/2023,13:00 - 14:00,284,64,#N/A,0
10/07/2023,14:00 - 15:00,279,64,#N/A,0
10/07/2023,15:00 - 16:00,312,63,#N/A,0
10/07/2023,16:00 - 17:00,342,63,#N/A,0
10/07/2023,17:00 - 18:00,537,61,#N/A,0
10/07/2023,18:00 - 19:00,480,63,#N/A,0
10/07/2023,19:00 - 20:00,376,64,#N/A,0
10/07/2023,20:00 - 21:00,290,61,#N/A,0
10/07/2023,21:00 - 22:00,178,59,#N/A,0
10/07/2023,22:00 - 23:00,141,60,#N/A,0
10/07/2023,23:00 - 24:00,102,61,#N/A,0
11/07/2023,00:00 - 01:00,55,62,#N/A,0
11/07/2023,01:00 - 02:00,29,64,#N/A,0
11/07/2023,02:00 - 03:00,22,62,#N/A,0
11/07/2023,03:00 - 04:00,26,62,#N/A,0
11/07/2023,04:00 - 05:00,48,66,#N/A,0
11/07/2023,05:00 - 06:00,145,63,#N/A,0
11/07/2023,06:00 - 07:00,280,65,#N/A,0
11/07/2023,07:00 - 08:00,345,63,#N/A,0
11/07/2023,08:00 - 09:00,501,61,#N/A,0
11/07/2023,09:00 - 10:00,587,61,#N/A,0
11/07/2023,10:00 - 11:00,586,59,#N/A,0
11/07/2023,11:00 - 12:00,552,60,#N/A,0
11/07/2023,12:00 - 13:00,464,61,#N/A,0
11/07/2023,13:00 - 14:00,399,64,#N/A,0
11/07/2023,14:00 - 15:00,447,63,#N/A,0
11/07/2023,15:00 - 16:00,426,64,#N/A,0
11/07/2023,16:00 - 17:00,435,65,#N/A,0
11/07/2023,17:00 - 18:00,459,63,#N/A,0
11/07/2023,18:00 - 19:00,363,64,#N/A,0
11/07/2023,19:00 - 20:00,356,65,#N/A,0
11/07/2023,20:00 - 21:00,279,62,#N/A,0
11/07/2023,21:00 - 22:00,177,59,#N/A,0
11/07/2023,22:00 - 23:00,157,61,#N/A,0
11/07/2023,23:00 - 24:00,115,63,#N/A,0
12/07/2023,00:00 - 01:00,49,63,#N/A,0
12/07/2023,01:00 - 02:00,39,60,#N/A,0
12/07/2023,02:00 - 03:00,26,58,#N/A,0
12/07/2023,03:00 - 04:00,40,66,#N/A,0
12/07/2023,04:00 - 05:00,72,65,#N/A,0
12/07/2023,05:00 - 06:00,143,64,#N/A,0
12/07/2023,06:00 - 07:00,267,67,#N/A,0
12/07/2023,07:00 - 08:00,329,65,#N/A,0
12/07/2023,08:00 - 09:00,429,62,#N/A,0
12/07/2023,09:00 - 10:00,539,60,#N/A,0
12/07/2023,10:00 - 11:00,517,60,#N/A,0
12/07/2023,11:00 - 12:00,453,59,#N/A,0
12/07/2023,12:00 - 13:00,398,62,#N/A,0
12/07/2023,13:00 - 14:00,388,63,#N/A,0
12/07/2023,14:00 - 15:00,370,63,#N/A,0
12/07/2023,15:00 - 16:00,391,64,#N/A,0
12/07/2023,16:00 - 17:00,386,64,#N/A,0
12/07/2023,17:00 - 18:00,393,67,#N/A,0
12/07/2023,18:00 - 19:00,433,64,#N/A,0
12/07/2023,19:00 - 20:00,285,65,#N/A,0
12/07/2023,20:00 - 21:00,194,65,#N/A,0
12/07/2023,21:00 - 22:00,126,58,#N/A,0
12/07/2023,22:00 - 23:00,132,62,#N/A,0
12/07/2023,23:00 - 24:00,90,60,#N/A,0
13/07/2023,00:00 - 01:00,58,68,#N/A,0
13/07/2023,01:00 - 02:00,44,62,#N/A,0
13/07/2023,02:00 - 03:00,26,62,#N/A,0
13/07/2023,03:00 - 04:00,30,60,#N/A,0
13/07/2023,04:00 - 05:00,53,60,#N/A,0
13/07/2023,05:00 - 06:00,110,62,#N/A,0
13/07/2023,06:00 - 07:00,214,65,#N/A,0
13/07/2023,07:00 - 08:00,216,66,#N/A,0
13/07/2023,08:00 - 09:00,227,63,#N/A,0
13/07/2023,09:00 - 10:00,228,59,#N/A,0
13/07/2023,10:00 - 11:00,238,59,#N/A,0
13/07/2023,11:00 - 12:00,199,59,#N/A,0
13/07/2023,12:00 - 13:00,250,65,#N/A,0
13/07/2023,13:00 - 14:00,146,63,#N/A,0
13/07/2023,14:00 - 15:00,177,61,#N/A,0
13/07/2023,15:00 - 16:00,190,64,#N/A,0
13/07/2023,16:00 - 17:00,208,64,#N/A,0
13/07/2023,17:00 - 18:00,183,59,#N/A,0
13/07/2023,18:00 - 19:00,149,64,#N/A,0
13/07/2023,19:00 - 20:00,141,68,#N/A,0
13/07/2023,20:00 - 21:00,172,60,#N/A,0
13/07/2023,21:00 - 22:00,134,56,#N/A,0
13/07/2023,22:00 - 23:00,106,61,#N/A,0
13/07/2023,23:00 - 24:00,111,62,#N/A,0
14/07/2023,00:00 - 01:00,60,65,#N/A,0
14/07/2023,01:00 - 02:00,38,69,#N/A,0
14/07/2023,02:00 - 03:00,39,67,#N/A,0
14/07/2023,03:00 - 04:00,23,63,#N/A,0
14/07/2023,04:00 - 05:00,68,67,#N/A,0
14/07/2023,05:00 - 06:00,111,63,#N/A,0
14/07/2023,06:00 - 07:00,131,69,#N/A,0
14/07/2023,07:00 - 08:00,166,65,#N/A,0
14/07/2023,08:00 - 09:00,191,65,#N/A,0
14/07/2023,09:00 - 10:00,201,62,#N/A,0
14/07/2023,10:00 - 11:00,187,60,#N/A,0
14/07/2023,11:00 - 12:00,164,62,#N/A,0
14/07/2023,12:00 - 13:00,142,63,#N/A,0
14/07/2023,13:00 - 14:00,140,62,#N/A,0
14/07/2023,14:00 - 15:00,175,63,#N/A,0
14/07/2023,15:00 - 16:00,124,63,#N/A,0
14/07/2023,16:00 - 17:00,127,61,#N/A,0
14/07/2023,17:00 - 18:00,167,63,#N/A,0
14/07/2023,18:00 - 19:00,157,61,#N/A,0
14/07/2023,19:00 - 20:00,171,61,#N/A,0
14/07/2023,20:00 - 21:00,158,58,#N/A,0
14/07/2023,21:00 - 22:00,281,60,#N/A,0
14/07/2023,22:00 - 23:00,222,60,#N/A,0
14/07/2023,23:00 - 24:00,186,61,#N/A,0
15/07/2023,00:00 - 01:00,138,63,#N/A,0
15/07/2023,01:00 - 02:00,66,64,#N/A,0
15/07/2023,02:00 - 03:00,42,65,#N/A,0
15/07/2023,03:00 - 04:00,37,61,#N/A,0
15/07/2023,04:00 - 05:00,54,63,#N/A,0
15/07/2023,05:00 - 06:00,133,64,#N/A,0
15/07/2023,06:00 - 07:00,324,64,#N/A,0
15/07/2023,07:00 - 08:00,482,65,#N/A,0
15/07/2023,08:00 - 09:00,718,61,#N/A,0
15/07/2023,09:00 - 10:00,805,59,#N/A,0
15/07/2023,10:00 - 11:00,848,58,#N/A,0
