DateTime,vehicle_count_per_hour,average_speed_per_hour,PH Bool,Day,Time
09/08/2023 04:00,87,78,0,09/08/2023,04:00:00
09/08/2023 05:00,152,79,0,09/08/2023,05:00:00
09/08/2023 06:00,324,81,0,09/08/2023,06:00:00
09/08/2023 07:00,407,75,0,09/08/2023,07:00:00
09/08/2023 08:00,441,74,0,09/08/2023,08:00:00
09/08/2023 09:00,595,66,0,09/08/2023,09:00:00
09/08/2023 10:00,451,67,0,09/08/2023,10:00:00
09/08/2023 11:00,506,65,0,09/08/2023,11:00:00
09/08/2023 12:00,406,77,0,09/08/2023,12:00:00
09/08/2023 13:00,361,76,0,09/08/2023,13:00:00
09/08/2023 14:00,274,82,0,09/08/2023,14:00:00
09/08/2023 15:00,413,80,0,09/08/2023,15:00:00
09/08/2023 16:00,271,78,0,09/08/2023,16:00:00
09/08/2023 17:00,215,76,0,09/08/2023,17:00:00
09/08/2023 18:00,389,79,0,09/08/2023,18:00:00
09/08/2023 19:00,284,76,0,09/08/2023,19:00:00
09/08/2023 20:00,218,78,0,09/08/2023,20:00:00
09/08/2023 21:00,158,70,0,09/08/2023,21:00:00
09/08/2023 22:00,158,74,0,09/08/2023,22:00:00
09/08/2023 23:00,198,77,0,09/08/2023,23:00:00
10/08/2023 00:00,115,78,0,10/08/2023,00:00:00
10/08/2023 01:00,40,86,0,10/08/2023,01:00:00
10/08/2023 02:00,44,86,0,10/08/2023,02:00:00
10/08/2023 03:00,38,86,0,10/08/2023,03:00:00
10/08/2023 04:00,63,84,0,10/08/2023,04:00:00
10/08/2023 05:00,144,83,0,10/08/2023,05:00:00
10/08/2023 06:00,307,83,0,10/08/2023,06:00:00
10/08/2023 07:00,221,82,0,10/08/2023,07:00:00
10/08/2023 08:00,207,75,0,10/08/2023,08:00:00
10/08/2023 09:00,225,76,0,10/08/2023,09:00:00
10/08/2023 10:00,220,72,0,10/08/2023,10:00:00
10/08/2023 11:00,257,78,0,10/08/2023,11:00:00
10/08/2023 12:00,181,72,0,10/08/2023,12:00:00
10/08/2023 13:00,237,77,0,10/08/2023,13:00:00
10/08/2023 14:00,165,75,0,10/08/2023,14:00:00
10/08/2023 15:00,224,79,0,10/08/2023,15:00:00
10/08/2023 16:00,160,77,0,10/08/2023,16:00:00
10/08/2023 17:00,174,77,0,10/08/2023,17:00:00
10/08/2023 18:00,154,76,0,10/08/2023,18:00:00
10/08/2023 19:00,167,77,0,10/08/2023,19:00:00
10/08/2023 20:00,167,74,0,10/08/2023,20:00:00
10/08/2023 21:00,205,84,0,10/08/2023,21:00:00
10/08/2023 22:00,155,73,0,10/08/2023,22:00:00
10/08/2023 23:00,137,81,0,10/08/2023,23:00:00
11/08/2023 00:00,86,79,0,11/08/2023,00:00:00
11/08/2023 01:00,43,79,0,11/08/2023,01:00:00
11/08/2023 02:00,27,80,0,11/08/2023,02:00:00
11/08/2023 03:00,43,81,0,11/08/2023,03:00:00
11/08/2023 04:00,70,80,0,11/08/2023,04:00:00
11/08/2023 05:00,122,81,0,11/08/2023,05:00:00
11/08/2023 06:00,336,84,0,11/08/2023,06:00:00
11/08/2023 07:00,502,80,0,11/08/2023,07:00:00
11/08/2023 08:00,602,77,0,11/08/2023,08:00:00
11/08/2023 09:00,852,74,0,11/08/2023,09:00:00
11/08/2023 10:00,892,71,0,11/08/2023,10:00:00
11/08/2023 11:00,815,71,0,11/08/2023,11:00:00
11/08/2023 12:00,719,73,0,11/08/2023,12:00:00
11/08/2023 13:00,668,76,0,11/08/2023,13:00:00
11/08/2023 14:00,649,79,0,11/08/2023,14:00:00
11/08/2023 15:00,677,81,0,11/08/2023,15:00:00
11/08/2023 16:00,737,76,0,11/08/2023,16:00:00
11/08/2023 17:00,760,70,0,11/08/2023,17:00:00
11/08/2023 18:00,805,68,0,11/08/2023,18:00:00
11/08/2023 19:00,757,71,0,11/08/2023,19:00:00
11/08/2023 20:00,605,74,0,11/08/2023,20:00:00
11/08/2023 21:00,348,75,0,11/08/2023,21:00:00
11/08/2023 22:00,276,73,0,11/08/2023,22:00:00
11/08/2023 23:00,204,76,0,11/08/2023,23:00:00
12/08/2023 00:00,150,76,0,12/08/2023,00:00:00
12/08/2023 01:00,99,77,0,12/08/2023,01:00:00
12/08/2023 02:00,59,82,0,12/08/2023,02:00:00
12/08/2023 03:00,57,79,0,12/08/2023,03:00:00
12/08/2023 04:00,72,77,0,12/08/2023,04:00:00
12/08/2023 05:00,177,78,0,12/08/2023,05:00:00
12/08/2023 06:00,352,83,0,12/08/2023,06:00:00
12/08/2023 07:00,531,82,0,12/08/2023,07:00:00
12/08/2023 08:00,748,77,0,12/08/2023,08:00:00
12/08/2023 09:00,1047,74,0,12/08/2023,09:00:00
12/08/2023 10:00,951,70,0,12/08/2023,10:00:00
12/08/2023 11:00,883,71,0,12/08/2023,11:00:00
12/08/2023 12:00,813,72,0,12/08/2023,12:00:00
12/08/2023 13:00,778,71,0,12/08/2023,13:00:00
12/08/2023 14:00,697,75,0,12/08/2023,14:00:00
12/08/2023 15:00,684,72,0,12/08/2023,15:00:00
